filename	content	reference
001	General grammar	Грамматика современного якутского литературного языка : [в 2 томах] / Акад. наук СССР, Сиб. отд- ние, Якут. фил., Ин-т яз. лит.и истории; [редкол.: Е. И. Убрятова (отв. ред.), Е. И. Коркина, Л. Н. Харитонов, Н. Е. Петров]. – Москва : Наука, 1982-1995. Т. 1: Фонетика и морфология / [Л. Н. Харитонов, Н. Д. Дьячковский, С. А. Иванов и др.]. – Москва: Наука, 1982. – 495 с.
002	Verbal moods	Коркина Е.И. Наклонения глагола в якутском языке / Е. И. Коркина ; Акад. наук СССР, Якут. фил. Сиб. отд- ния, Ин-т яз., лит. и истории ; [отв. ред. проф. Л. Н. Харитонов]. – Москва : Наука, 1970. – 306 с.
003	Participles	Коркина Е.И. Деепричастия в якутском языке / Е. И. Коркина; отв. ред. к. филол. н. Н. Е. Петров; Акад. наук СССР, Сиб. отд-ние, Якут. фил., Ин-т яз., лит. и истории. – Новосибирск : Наука, Сибирское отделение, 1985. – 203 с.
004	Verb voice	Харитонов Л.Н. Залоговые формы глагола в якутском языке / Л. Н. Харитонов; Акад. наук СССР, Якут. фил. Сиб. отд-ния, Ин-т яз., лит. и истории. – Москва; Ленинград: Изд-во АН СССР, 1963. – 123 с.
005	Immutable words	Харитонов Л.Н. Неизменяемые слова в якутском языке : пособие для учителей / Л. Н. Харитонов ; Нар. комиссариат просвещения ЯАССР. – Якутск : Государственное издательство ЯАССР, 1943. – 82 с.
006	Particles	Петров Н.Е. Частицы в якутском языке. – Якутск : Кн.изд-во, 1978. – 298 с.
007	Modal words	Петров Н.Е. Модальные слова в якутском языке / Н. Е. Петров ; ответственный редактор Е. И. Коркина ; Академия наук СССР, Сибирское отделение, Якутский филиал, Институт языка, литературы и истории. - Новосибирск : Наука, 1984. - 204 с.
009	General morphology	Данилова, Надежда Ивановна. Курс якутской грамматики: система морфологических категорий и синтаксических конструкций : учеб. пособие для студентов филол. фак. ЯГУ / Н. И. Данилова, Н. И. Попова, Н. Н. Ефремов ; Акад. наук Респ. Саха (Якутия), Ин-т гуманитар. исслед . - Якутск : ИГИ АН РС(Я), 2004. - 195, с.
021	Verbal moods	Винокурова Н.И., Винокуров И.П. Наклонения в якутском и английском языках: сравнительный анализ. Северо-Восточный гуманитарный вестник. – 2012. – N 2 (5). – С. 98-107.
022	Divergent features of the Sakha	Pakendorf B. Contact in the prehistory of the Sakha (Yakuts): Linguistic and genetic perspectives, 2007.
