page	text
3	"удк 809.437.7
ББК 81.2 Як.
Г76

выделенной Комитетом РФ по печати

Издание выпущено в счет дотации,

рецензенты

логических наук

аты фило
кандидаты Ф и Винокуров

Н.И. Данилова,

Утверждено к печати
Институтом языка, ИЯ я ритив)
и истории Академин наук Республики Саха Як)

Редакционная коллегия

отв. дактор), д-Р филол. наук, проф.
-р филол. наук, проф. М.И. Черемисина т т рКиНВ, д-р филол. наук, проф.

д
‚ -р филол. наук, ПРОФ. =>
Е.К. и тове р а ИН. Ефремов, канд. филол. наук Н.И. Попова

Грамматика современного
Г7б Синтаксис ДЕ -Убратова] Н №

336 с ая издательская фирма РАН, 1995. —
1$ВМ 5—02—030716—5.
Монография п

4602020400 —041
ЫЖж—ж—ж—=——=ж—ж——ж—ш———————
042(02)—95 261—94 И полугодие

15ВМ 5—02—030716—5

© Академия наук Республики Саха

(Якутия), 1995

Е а литературного языка. Т. 2.
восибирск: “Наука“. ИБ . петров, Н.Н. Неустроев и др. — Но-

ББК 81.2 Як.

РН

ПРЕДИСЛОВИЕ

Предлагаемая вниманию читателей «Грамматика современного якутско-
го литературного языка» представляет собой второй том научной грам-
О, п

. актическом материале из современной
литературы дано наиболее полное и систематическое описание синтаксичес-
кого строя якутского языка. «Грамматика» составлена на основе капиталь-
ных синтаксических исследований и идей видного тюрколога проф. Е.И. Уб-
рятовой. В ней изложены результаты синтаксических исследований ряда
якутоведов, расширены и углублены или впервые освешены многие частные
проблемы якутского синтаксиса, например, односоставные, вопросительные,
повествовательные, побудительные, а также сложноподчиненные и сложно-
сочиненные предложения, формы передачи чужой речи и др. Отдельный
раздел посвящен специфическим средствам формирования и выражения
модальных значений: уточнено понятие «слова-предложения» как своеоб-
разного типа модальных предложений, состоящего из грамматикализован-
ных слов или сочетаний слов; впервые выделены сопутствующие члены;
вставные члены и предложения отграничены от вводных; выявлено и описа-
но довольно большое количество моделей повторов и соединений слово-
форм — синтаксических средств выражения модальности и т.д.

Данная работа предназначена не только для специалистов по якутскому
языку, но и для широкого круга тюркологов, научных работников-языкове-
дов; поэтому, как и в первой части «Грамматики современного якутского
литературного языка» (1982), по некоторым проблемам материал подается с
постановкой спорных проблем. Отсюда элементы полемики и доказатель-
ности, обилие иллюстративного материала, подробность изложения некото-
рых разделов «Синтаксиса». .

Введение написано докт. филол. наук, проф. Е.И. Убрятовой («Из
истории изучения синтаксиса якутского языка») и канд. филол. наук
Н.Н. Ефремовым («Словосочетание как конструктивная основа синтаксиса
якутского языка»), разделы «Простое предложение» ^. Е.И. Убрятовой,
«Односоставное предложение» — канд. филол. наук Н.Н. Неустроевым,
«Типы предложения по цели сообщения» — канд. филол. наук и Алексе-
свым, «Порядок слов в простом предложении» — ВЫ, ВОИ,
«Специфические средства формирования и выражения модальных ЗН
чений» — докт. филол. наук НЕ. Петровым, «Сложное о
Общая характеристика», «Сложноподчиненное предложение» — канд фи-
ремовым, «Сравнительные сложноподчиненные предложения» “о

: е предложения усложнен
лол. наук Ю.И. Васильевым, «Сложноподчиненны =.
е ь подчиненные предложения»
ной структуры», «Аналитические сложнопод с Нередани зу

Н.Н. Ефремовым, «Сложносочиненное предложение», «Фор

жой речи» — Ю.И. Васильевым.
"
4	"ВВЕДЕНИЕ

Из истории изучения синтаксиса якутского языка

лежит О.Н. Бёт-

Первое описание синтаксиса ую языка И ерайа ани раздела
лингку. В знаменитом труде Е т и синтаксические функции
«Синтаксис» он подробно раст т ЗтеЕЫ речи: имен, местоимений,
падежных фор ЗВ . ИВ даны значения и синтаксические функ-
ЧАСИВИВЕМ, О, основ, их залоговых показателей, фи-
ции глагольных форм: глагольных : жного. услов-
нитных форм глагола повелительного, изъявительного, возмо ‚
ного наклонений, имен действия (на -ыы, -ааччы, -ар, быт, -тах, -батах,
-ыах), деепричастий (на -ан, -аат, -а, -ыы, -аары).

В заключении раздела большое внимание исследователь уделил после-
логам, союзам, порядку слов, удвоению [ВОНИпвК, 1851, $. 315—397 ].

Однако если синтаксические явления, рассмотренные О.Н. Бётлингком
в названном разделе, распределить по схеме, принятой в современном
описании синтаксиса, то окажется, что члены предложения, синтаксические
конструкции, все или почти все явления синтаксиса простого предложения
якутского языка довольно подробно изучены, но не в одном месте, а в
разных разделах. Например, разбор определительного сочетания, построен-
ного на примыкании, дается в параграфах 608, 610, 612—614, посвященных
неопределенному падежу. Затем следует описание определительного соче-
тания, построенного на изафете [$ 615—617]. Продолжено рассмотрение
изафетных словосочетаний в разделе «О местоимении» [5 638, 643—650,
653 ]. Описание главных и второстепенных членов также рассредоточено по
разным параграфам.

Раздел, посвященный синтаксическом
(глагольные имена, деепричастия и ли
тонкие наблюдения по синтаксису сло

у употреблению глагольных форм
чные формы глаголов), содержит

нен

к и ей Е. разделе «Синтаксис» это противоречие частично исправля-

и т в ОН построения с падежными формами глагольных
усмого О.Н. Бётлингк не квалифицирует как сложные

предложения. Эта точка
зрения и в на
ранена среди тюркологов. ‘1с время довольно широко распрост-

аксису якутского я
зыка содержат я
языка» Д. Хитрова | ржатся и в «Краткой

1858, с. 116—137]. В «Грам-
‚ Ястремского [1900, 1938 |, ВЕН аи.

раняется построение, принятое

ределенного падежа;
184] и разделил на
того, раздел «Мест-

й па >.
не а основ назвал «Отношения места и времени, выража-
та», а также ис >.
относимые сюда О.Н. Бёт ключил наречный падеж, считая

алтаиского языка, составленной членами Алтайской миссии» [1869 ]
Большой материал для изучени
у я синтаксиса якутского языка содержит
«Словарь якутского языка» ЭК. П
а а, `“. искарского [1959]. Каждое слово, вошед-
её его, с только тщательно обработано лексикографически и морфо-
логически, но и показано в своем синтаксическом употреблении в языке, в
сочетаемости с другими словами — знаменательными и служебными. Со-
ставитель расписал и включил в «Словарь» записи и переводы якутского
ВЕНЕ ь СТАЕ И.А. Худяковым и С.В. Ястремским [Верхоянский
сборник, ‚т. 1, вып. 3, с. 1—314; Образцы..., 1913, вып. 1: Образцы...,
1918, вып. 2; Ястремский, 1929]. Конечно, «Словарь» Э.К. Пекарского не
исследование якутского синтаксиса, а богатое собрание синтаксически обра-
ботанных материалов, без которых современные исследователи не смогли бы
написать работы, особенно по синтаксису простого предложения якутского
языка.

В 1926 г. была издана «Учебная грамматика якутского языка»
Н.Н. Поппе. Ее третья часть посвящена синтаксису, в ней автору удалось
всего на 26 страницах (с. 94—129) дать представление обо всех основных
явлениях синтаксиса якутского языка, которые он снабдил примерами,
выбранными из иллюстративного материала «Грамматики якутского языка»
С.В. Ястремского (может быть, в этом ему помог С.В. Ястремский, — о
переписке с ним автор сообщил в «Предисловии»).

В 1931 г. в «Самоучителе якутского языка» Г.У. Гермогенов и И.Д. Мо-
руо дали советы, как по-якутски строить предложение, в какой форме
употреблять те или иные члены предложения, т.е. изложили все основные
правила синтаксиса якутского языка.

В 1936 г. в Копенгагене была издана первая часть книги К. Грёнбека
«Строй тюркских языков» (Сгбопфесв К. Пе 1агК1$све Зргасйбаи), посвящен-
ная именным группам во всех известных тогда тюркских языках. Якутские
материалы автор извлек из грамматики якутского языка О.Н. Бётлингка и
«Словаря якутского языка» Э.К. Пекарского, разработал структуру опре-
делительных сочетаний, рассмотрел роль аффиксов принадлежности в опре-
делительных сочетаниях и оформление прямого дополнения; попытался
выделить сложную форму личного местоимения эн бийикки ‘мы с тобой
как форму исключитёльного местоимения при исключительной форме пове-
лительного наклонения 1-го л. мн. ч. бар-ыа-х ‘пойдем-ка мы с тобой’.
Кроме того, отсутствие родительного падежа в якутском языке К. Грёнбек
показал как его классификационный признак. Эта монография — одна из
первых попыток разработки некоторых частных вопросов якутского син-
таксиса за рубежом.

В 1940-е гг. появились школьные учебники по синтаксису Е
языка Г.У. Эргиса и П.П. Барашкова [Эргис, 1942; Эргис, Барашков, Е ].
Они невелики по объему, но в них впервые синтаксис якутского языка оыл

ики. Авторы обратили внимание на

представлен как особая часть грамматики.
6 сти. как, например, притяжательная связь

такие его специфические особенности, ‚
в определительных сочетаниях. В этих учебниках рассматривались новые

а и вводилась терминология для их обозна-
вопросы якутского синтаксиса
чения. был создан Инс-

В 1935 г. при Совете Народных Комиссаров ЯАССР 6 : а

Во главе его встал известный общественн
титут языка и культуры. х еский словарь
Ойунский, подготовивший терминологич
деятель и поэт П.А. Ойунскии, [Ойунский, 1935 ].
мматическая терминология у ,
где разрабатывалась и гра
"
5	"иалистов по якутскому
очень мало спец
В 1930—1940-е г. Л оно организационная работа по созданию
языку. Тем не менее и, ыка: разрабатывалась терминология, созда
и литературного язы ^“. ебные грамматики
письменности 7 огические словари, печатались уч Н
вались первые термине. „ изданы монография Л.Н. Харитонова «Неизме-
по якутскому языку. и [1943 ] и его же учебное пособие для вузов
няемые слова в хкУТСкОМ # к. Г. Фонетика и морфология» [1947 |.
«Современный якутский я: » «Исследования по синтаксису
‹нига Е.И. Убрятовой «
В 1950 г. вышла к . — результат изучения ма-
Ч. Г. Простое предложение» р -
якутского языка. ч. 1. , едений якутского фольклора И
ных выше, а также произвед
якутской художественной > = В меньшей степени был
виваться после создания якутской письменности.
н язык научной и политической литературы.
и. 6 исследовала частные аспекты якутского

Предварительно Е.И. Убрятова о
синтаксиса — причастные формы, словосочетания и некоторые другие и
опубликовала работу «Согласование в якутском языке» [1962], посвящен-
ную оформлению, во-первых, сочетания подлежащего и сказуемого в про-
стом и сложном предложениях и, во-вторых, однородных членов предло-
жения. Это первый опыт монографического описания простого предложения,
причем автор охватил далеко не все вопросы.

Синтаксическис исследования были продолжены позднее: Н.Н. Неуст-
роев выполнил диссертационное исследование односоставных (безличных и
номинативных) предложений [1972а, 6], М.А. Черосов — словосочетаний
[1966, 1972]; Ю.И. Васильев проанализировал выражение сравнения в якут-
ском языке и опубликовал монографию, частично выходящую за рамки
простого предложения [1986]. И.Е. Алексеев под руководством В.М. На-
деляева начал изучение якутской мелодики методами экспериментальной
фонетики. Используя прием погирования, разработанный в лаборатории
экспериментально-фонетических исследований ИИФиФ СО АН СССР, он
написал монографию о мелодике вопросительного предложения [1962], на
которую опирается раздел «Вопросительное предложение» в настоящей ра-
боте.

Вторая часть труда Е.И. Убрятовой «Исследования по синтаксису якут-
ского языка», посвященная сложному предложению, хотя и написана одно-
временно с первой частью и составила с ней единое целое, вышла в свет
только в 1976 г. в Новосибирске.

. Синтаксис современного якутского литературного языка развивался и
а развиваться в условиях сложного взаимодействия синтаксиса
усского и ее и устного литературного языка, а также синтаксиса
в якутском сратурного языка. Устный литературный язык давно сложился
к г р Е. Записи олонхо столетней давности (И.А. Худякова
“ ,
А .В. Ястремского и др.) отражают его в полном расцвете. Стихи
Но гались певцами исключительно на основе синтаксического парал-
‚ посредством набора синонимов к каждому прелло:

к каждому члену предложения. Это у предложению или почти
произведения необычайный блеск и придавало языку художественного
насыщенность поэтическими образами,

а предложение превра
щалось вп вы С
жения в олонхо. ЗЕНЫВ основной вид сложного предло-

что в нем наиболее последовательно соблюдается
выражения подчинительных отношений:

1) предикативные сочетания, образующие ядро предложения, связыва-
ются С другими предложениями (предикативными сочетаниями или с их
членами) теми же способами связи (примыканием управлением, изафетом
и согласованием), что и члены простого предложения, — в зависимости от

их синтаксических отношений. Эти способы связи образуют основу структу-

установившаяся система

2) средствами выражения синтаксических отношений членов сложно-
подчиненного предложения служат аффиксы принадлежности (притяжания)
и сказуемости, выражающие предикативность, падежные аффиксы преиму-
щественно предикативного склонения, некоторые словообразовательные аф-
фиксы (-таавы), часть послелогов, инфинитные формы глагола (преимуще-
ственно деепричастия). По сравнению с употреблением их в простом пред-
ложении способы связи и средства их выражения используются более спе-
циализированно и не в полном объеме;

3) названные особенности структуры и оформления сложноподчиненно-
го предложения в якутском языке требуют специальной системы глагольных
форм, которая состоит из причастий (универсальные временные формы
глагола, выступающие как сказуемые зависимой и главной части сложно-
подчиненного предложения), финитных форм (выступают только сказуе-
мыми простого и главной части сложноподчиненного предложения), де-
епричастий (употребляются как формы знаменательного компонента (-ан,
-а. -мына, -аары) синтетико-аналитических сочетаний, например айаан
эрэр ‘кушать + начал + он’; как второстепенное сказуемое в простом
предложении; как сказуемое зависимой части в сложноподчиненном предло-
жении).

Причастия, деепричастия и финитные формы входят в парадигму спря-
жения, и не только потому, что все они имеют личное оформление. Каждый
якутский глагол в зависимости от его роли в предложении употребляется как
финитная форма, причастие или как деепричастие. Почти все формальные
элементы синтаксиса сложного предложения якутского языка — обще-
тюркские (глагольные формы, аффиксы принадлежности и сказуемости,
падежные аффиксы), и сама система сложноподчиненного предложения
тоже общетюркская. Но именно уникальность использования этих средств
делает якутскую систему непохожей на ту, что наблюдается в других
тюркских языках (за исключением долганского, отпочковавшегося от якут-
ского, когда последний уже сложился). Самая яркая особенность этой
системы — последовательное личное оформление сказуемого, выраженного
причастием в падежной форме или деепричастием с аффиксом сказуемости.
В других тюркских языках этого нет. Поэтому естественно, что ис Е
объяснение стали в соседних языках; и действительно, как НР -
ное оформление деепримасти о ь отличающееся от якутского,

й ыке ятова, ‚ С. _
М ие кого сложного предложения продолжается. Вышла моно
} чиненные предложения времени в якут
графия Н.Н. Ефремова и: и Ю.И. Васильева рас-
ском языке» [1984 1. В упомянутой и"" равнительных презло-
сматриваются некоторые виды И езновний ая Сибири Института
жений [1986]. В Новосибирске в Секторе языков я иелЕное нана ние
филологии СО РАН ведется т И” ПОД ""ООнОДЕтАИм крупного спе-
сложного предложения в ян» и изиной Отправной точкой для этих
циалиста в данной области М аа Е.И. Убрятовой по сложному
новых научных изыскан., п к исследованию привлекались якут-
предложению якутского языка [1976 ]. . еже бурятский, эвенкийский,
ский, тувинский, алталски , ный Сибири. Проблемы, которые ста
нганасанский, энецкий и другие ет икативность, полипредикативность,
вились на обсуждение в секторе, а Ение и др. [Предикативное скло“
моносубъектность, предикативное я
нение... 1984; Шамина, 1987; Бродская,

1988: Скрибник, 1988; и др. |.
ния, СКОЛЬКО
Якутский язык при этом служил не столько предметом изуче

-
"
6	"я него. Так,

венным И дл

сравнения, но это оказии, В использование притяжа-
1ч и

имо предикативное нение ПР тельная особенность якутско

например,

‹ак отли ,
я хечалось как о ‘их языков, не
тельных аффиксов, И В | особенностью многих сибирск}
. О аре:
го языка, стал

только тюркских.

ова
Словосочетание как конструктивная осн

синтаксиса якутского языка

азываются лексико-грамматические сочетания двух
г еленных способов связи — примыкания,

огласования, которые имеют специальную систему
с ’ ,
Иа, аня, о Шую как сочетания слов, так и сочетания
средств выражения, обслужива ты предложения.
предикативных частеи жи в якутском языке представляют собой
Способы и средства связи истемообразу-
нного языка, выполняя с разу
онструктивную основу синтаксиса да ыка, Ся) ей
Е у ИЖЦиИ Сравним: кини-ттэн \®р- ‘радоваться (радуися) за него ;
ющую В ‚й ‹оду (тому, что при-
: Е ""ра ся) его приходу у,
кэлбит-и-ттэн \ер- ‘радоваться (радуися?. р
шел-он)’. . |
сочетаниях слов способ связи общий — управление,
> этих двух Конструкции различаются тем,
средство связи — аффикс исходного падежа. ру
что компоненты первого сочетания заполняют позиции членов предложения
. в = торого —
(киниттэн — дополнение, ур сказуемое), компоненты в оро ии
позиции предикативных частей сложноподчиненного пре ь р
чинной зависимой части — хэлбититтэн, главной — уер-). Но оба соче-
тания слов на статическом уровне являются словосочетаниями и лишь на
динамическом уровне — на уровне предложения (простого и сложного) —
выполняют указанные функциональные нагрузки.

Существует четыре способа связи слов: примыкание, изафет, управ-
ление, согласование.

Примыкание — один из ведущих способов связи слов: он не имеет
формальных средств выражения, а опирается на основной закон грамматиче-
ского строя тюркских языков «определение — определяемое», т.е. средством
выражения данного способа является порядок слов «определяющее сло-
во + определяемое слово»; ср.: ыраас халлаан, букв.: ‘чистый небо’.

Указанный закон порядка слов обусловлен последовательным постпо-
зитивным агглютинативным характером грамматического строя тюркских
языков и функционирует на разных уровнях языка — в морфологии и
синтаксисе. Кроме того, этот закон имеет обратимый характер, т.е. соотно-
шение «определение + определяемое» можно рассматривать и как «опреде-
лясмое + определение». Сравним: мас дьиэ деревянный дом’, букв.: ‘дере-
во + дом. В этом сочетании имеет место прежде всего соотношение «опре-
делясмое + определение», ибо словом мас обозначается в первую очередь
ПОНЯТИЕ «дерево-вообще». Когда данное слово сочетается с именами су-
шествительными типа дьцэ ‘дом’, муоста ‘мост’, орон ‘нары’ и ти. -в нем
понятие «дерево-вообще» конкретизируется в виде значения «дерево-ма-
териал». Таким образом, сочетание «с
в целом и с уществительное + существительное»

а и Сочетание «определение (зависимое слбво) + определяемое
> характеризуются двойной ( :

бинная (ск а двухуровневой) связью: глу-

я) св — у

я СВЯЗЬ а «определяемое + определение» и поверхностная

ется прежде всего в со определяемое», что наиболее отчетливо проявля-

и четаниях «существительное + существи
зафет — тоже один из активно функцио м

слов, в отличие от примыкания ра нирующих способов связи

жения — располагает специальным с е _

аффиксом притяжания, который Релством выра

‚ ^оторыи присоединяется к постпозитивно-

му компоненту сочета
: лабаа- у . ,
во + ветка + его’. `(`!Ч ветка дерева’, букь.: дере-

Словосочетаниям!
слов или более посредством опред

НИЯ: мас

Здесь функционирует тот ж
- : с закон поря
(мас) + определяемое (лабаа + та)». рядка слов «определение
Отличие заключается в том, что в притяжательных сочетаниях аффикс
прими ни я реет постибзитивному слову (лабаа-) конкретизирова
значение, т.е. данное слово имеет м р рованное

орфологический кон у
(лабаа-та ветка + чего-то’), кретизатор -та

который, в свою очередь
| | точняется лек-
сическим показателем — существительным мас ‘дерево’ 7 |

Таким образом, в притяжательных сочетаниях слов определяемое слово
конкретизируется двумя способами: морфологическим (аффиксом притя-
жания) и синтаксическим (лексической единицей в связи и взаимодействии
с аффиксом притяжания) — мас (‘дерево’) лабаа-та Светка + чего-то’).

Следующий способ связи — управление — характеризуется таким
полиссмантическим средством выражения, как падежныс аффиксы, которые
приставляются постпозитивно к зависимому слову по требованию управля-
ющего слова — глагола (кинигэ-ни аах- ‘книгу читать’). В сочетаниях слов,
построенных на управлении, функционирует тот же закон порядка слов
«определение + определяемое» в виде соотношения «управляемое слово
(кинигэ + ни) + управляющее слово (аах‘читать’”)».

Согласование как способ связи представляет собой уподобление пост-
позитивного компонента словосочетания препозитивному в определенном
грамматическом аспекте, например в аспекте грамматического лица-числа:
ово аабар ‘ребенок читает’. В отличие от других сочетаний слов словосоче-
тания, построенные на согласовании, характеризуются как предикативные
единицы (подлежащее + сказуемое), т.е. как единицы более высокого пре-
дикативного уровня.

В формальном плане такие сочетания иногда могут совпадать с притя-
жательными. Сравним: 050 оонньуура ‘игрушка ребенка’, ‘детская игруш-
ка; обо оонньуура (оонньуур эта) ‘ребенок обычно играл’. В последнем
примере аффиксом -а грамматичсское значение притяжания непосредствен-
но не передается, а выражается прежде всего грамматическое значение
лица-числа (значение 3-го л. ед. ч.) препозитивного компонента — 050. И
таким образом, способ согласования базируется формально на способе
притяжания. Рассмотрим следующую пару сочетании слов: кийи суол-а
‘след человека’, букв.: ‘человек + след-его (или чего-то)’; хийи кэлбит-э
(колбит эт-э) ‘человек пришел”. Во втором примере существительное хийи
и глагол кэлбитэ сочетаются с помощью согласования: показатель связи —
аффикс притяжания -э при глаголе выражает также грамматическое лицо-
число — значение 3-го л. ед. ч., которым характеризуется ПреЕЗИтиННО
слово — существительное кийи. Поэтому данное сочетание заполняет по

р — по) ащего и сказуемого.
зиции главных членов предложения — подлежащ жены
В случае, когда этот же аффикс выступает в притяжательнои фунт,
Ск (синтаксического) показателя в соче
он выполняет роль морфологического (ср.: Аийи кэлбит-э ыра-
таниях предложений — в о ЧЕКЕ + пришел + [это =
а ен чеианек? ЧН о ось ""Рак банильныйй показатель согласо-
= что] давно прошло (состоялось) }- той глагольной формы (кэлбит»-) и
Я В лнравив о ВВ м И притяжания обеспечивает связь
имени существительного (кии) аффикс_ ти и) + открытая глагольная
слов в словосочетании «существительное (^“
Форма-причастие (хэлбитэ-)». (кийи) + имя (суол-) + афф. (-а)»
В притяжательном сочетании «имя -

; сочетания, а
аффик начается прежде всего Вт СЕБЕ м ееетииа (суол-
""о ини определяется те пеекоко опре-
а). Последний, в свою очередь, требует а. компонента (кийи). Здесь
делителя, что проявляется в виде и согласования в лице-
можно говорить в какой-то мере и © НоИчни ко в притяжательных
числе препозитивного и постпозитивного но факт притяжательной связи.
сочетаниях доминирующим иеляет от их расчлененности-нерасчлененности
> ависим С > ые (разложимы

Ха а Ко структурных типа. Оу ТИПУ относятся
нерасчлененные (неразложимыс) сочетания

9
"
7	"х компонентов или болсс,
Второй тип представля-

хи речи.
ными частям Лексические
Н ями СЛОВ.
которые Ва морфологическими т лексической сдиницы:
ется Л ачест

к ;
ионируют В, . . бава батайа ‘ирис’,
сочетания слов функц ыы букв.: красный ребенок ‚ баб ее ливна ИИЯ
кыйыл 050 новорожден ее рфологических сочетания дин,
букв.: ‘лягушка пальма-его астью речи, а второй —

ательной ч о
препозитивный, и у ото: тыа диэки К лесу , В [сторо-
служебным словом (например, по ""‘тол-поверхность-его- [тула |.
ну ] леса; остуол

‘на столе’, букв.:
урдугэр На ксических, морфологичсских)
В нерасчлененны

х сочетаниях СЛОВ (ле логических)
способы и средства связи не имеют гр

ямматического значения, .:
5 та эагуль-
ИШЬ формально-связующую функцию. Сравним: сугУН абавата, багу
Л : :
ник’, букв.: ‘голубика-дядя-ее’ (лексическо

с сочетанис слов); улэлэ2и бар-
‘начать работать’, букв.: ‘работав + или. В первом ыы
ов осуществляется способом притяжания Е р: ния —
фикс притяжания -та), во втором примере спосог а ВНЕ
средство связи — порядок слов «знаменательное ОВ, у ; я
служебное слово (основа глагола)». Однако эти способы и ср тс |
выполняют не грамматическую, а ЛИШЬ формально-связующую функцию,
те о способах и средствах связи здесь можно говорить в плане диахронии.
° В синтаксических сочетаниях слов способы и средства связи харак-
теризуются грамм

ящие из дву
таксические сочетания слов, С0СТО
о аменатель

атическими значениями. Сравним: кинигэ опуу-та ил-
люстрация книг-и’, букв.: ‘книга-иллюстрация-ее . Здесь аффикс притя-
жания выступает как показатель связи и как синтаксический (морфоло-
гический) конкретизатор. Слово хинигэ — это прежде всего имя сущест-
вительное, которое в притяжательных сочетаниях слов, вступая в связь и
отношение со словом ойуу-та, образует соотношение «целое — его часть
(элемент)» и выполняст функцию лексико-грамматического определителя
последнего (слова).

Базовая (глубинная) основа грамматического строя (а следовательно, и
основа словосочетаний) якутского языка представляет собой способность
элементов системы языка вступать друг с другом в определенные связи и
отношения по схеме последовательной постпозитивной агглютинации. На
морфологическом уровне данная схема являет собой сочетание «основа слова
(слово-основа) + однозначные аффиксы (морфологические конкретизаторы
основы)», на синтаксическом же уровне — «открытый (неконечный) компо-
нент + закрытый (конечный) компонент». Например: олоппоско олор-
садиться (букв.: ‘садись’ на табурет’. В этом примере компонент олойноско
(имя существительное в форме дательного падежа) ‘на табурет’, являясь
открытой словоформой, требует глагольного конкретизатора (ло -). Еще
примеры: сырдык кун светлый день’; остуол атава ‘ножка а ыра-

- . ” Е 7 )
Е суруй- писать (букв.: пиши ) чисто; Уйбаан кэлбит `Иван при-

В приведенных примерах п й
крытые словоформы Я Я а
компонентами сочетания (существительным кун т я та
атава, основой глагола суруй-, глаголом колбит) ритяжательным именем
ИИ компоненты являются 3

ренных сочетаний
ясь, снабжаются дополнительными компоне
двусложных сочетаниях, становятся от
нового сочетания слов. Сравним:
светлый день; остуол атавын
стола ; ыраастык суруй-а
кэлбит-э учугэй ’Хорошо
хорошо)”.

Как видно
из примеров, закрытые
тые (неконечные . рытые компоненты, преобр:
те | и. дополнительные Ре в откры-
суруй-а) ум (см. аффиксы -н в атавбы-н эв | а Имени
' в кэл ит-э, -а в

акрытыми (конечными)
Когда словосочетания, усложня-
нтами, компоненты, закрытые в
крытыми, представляя собой основу
сырдык кун буолла ‘наступил (настал)
ми кырыыта грань (грани) ножки (ножек)
рэн- учиться (учись) писать чисто’; Уйбаан
что пришел Иван (букв.: Иван пришел- [что |

10

—=—=Эа,:З»ЗЗэЭЗУ,„—=——

Имя существительное хун как основа словосочет
не основой глагола, что имеет место в соч ания конкретизируется
ленин и ИЕН, а Формой глагола, ный на управ-
этом отношен четанис ь лица-
не СХОЖИ © ты образующиеся посредством Раваны
тс > . : ми. Последние, в отличие от |
сочетаний, представляют связь и отношение между с согласующихся
в статическом аспекте, например в виде Я О т
и сго часть (ему принадлежащее и т.п.)». В соглас ОЕ 'субвект и Ат
выражаются связь и отношение имени и глагола НИЕ а.
через показатели притяжания и ск г ИВеТИВНОго: Слова)

азуемости. Кроме того

| аффиксы -
лежности и сказуемости сигнализируют о закрытости и ава:
возможности функционирования такой глагольной формы Пе ИЗИВЕЯ

ИМСНИ) аостоитеньяо без именной (субъектной) основы. Сравним: М
барыам Я пойду ; барыам ‘пойду’; эн учууталгын ‘ты ним: Мин
ух = .. у. з учитель ; учуутал-
гыни учитель-ты ; но Уйбаан улэлиир `Иван работает”: когла п Ы
з репозитивный
компонснт выражен не местоимением, что имеет место в сочетаниях с
именем 3-го л. сд. (мн.) ч., он не опускается.

Таким образом, в отличие от других словосочетаний, сочетания слов
построснные на согласовании, закрытые, завершенные, а их препозитивный
компонент, поскольку он в виде грамматического показателя лица-числа
отражастся в структуре постпозитивного компонента, может опускаться, и
потому препозитивный компонент связан с постпозитивным компонентом
сочетания сравнительно слабо. В сочетаниях слов с примыканием и управ-
ленисм компонентов связь между ними более тесная и не наблюдается
отстранения какого-либо члена словосочетания.

Показатели притяжания, сигнализирующие лицо-число препозитивного
компонента словосочетания, а также относительную самостоятельность, за-
крытый характер глагольной формы, в определенных условиях, когда к
глагольной форме приставляется постпозитивный компонент, преобразуются
в синтаксический показатель связи между словами или между формами
(аффиксами) внутри словоформы или конструкции. Сравним: доборум сыл-
дьыбыта ‘друг-мой приходил’; доворум сылдьыбытыгар эппитим ‘когда
приходил друг-мой сказал-я’. В первом примере аффикс притяжания -а
выражаст факт согласования в лице-числе (3-е л. ед. ч.) препозитивного и
постпозитивного компонентов словосочетания, а также его завершенность,
закрытость. Во втором же аффикс притяжания -а имеет видоизмененную
форму -ы и является средством связи формы -быт и формы дательного
падежа -гар, ибо в данном случае он выполняет роль синтаксического
средства связи. Кроме того, этот аффикс сигнализирует грамматическое
значение лица-числа (3-е л. ед. ч.) существительного, являющегося пре-
позитивным компонентом словосочетания. Еще пример: доБорум кэлбитин
кэннэ барбытым 'после того как пришел друг-мой, ушел я.

В этом примере словосочетание доБорум кэлбитин кэннэ являет
собой сочетание двух разных словосочетаний — разложимого (синтаксичес-
кого) доборум кэлбитэ ‘друг мой пришел и неразложимого (морфо-
логического) ол кэннэ ‘после чего’. Первое (синтаксическое) словосоче-
тание — закрытое, предикативное, второе — открытое, синтаксически
незавершенное, оно выражает связь и характеризуется слабым лексическим
значением ‘после чего (того). Последнее (морфологическое) словосоче-
тание, передав функцию скрепы ол `(э)то’ аффиксу притяжания о а
глагольной форме кэлбитэ, синтаксическим способом — с пом щ и
фикса -ин — сочетается со словосочетанием д05орум кэлбитэ, преобразу

‹ с с синтетико-зналитическим
его в открытое синтаксическое словосо гетание В
ЧОАЗаКУНЬНИ ЕЧЕИ РОН В О: М пет с синтетико-ана-

У преобразованного таким спос000м сл а ара ДАННОМУ пока
литическим (морфологическим) показателем И а тилеиранй 65Б-
зателю появляется возможность присоединить у м АИЕПЬНО законченную
воформу барбытым, в результате чего в чае псложноподчиненное предло-
синтаксическую конструкцию — временное ой
жение (доворум кэлбитэ-и (ол) кэни? барбытым?.

Г
"
