#### Names
хабырыыс,гавриил,гаври^ил
ньукулай,николай,никол^ай
настаа,настя,н^астя


#### Organization
мабылысаассыйа,мобилизация
баланыысса,больница
хамаанда,команда
тэлэгирээм,телеграм,телеграм
бикипиэдьийэ,википедия


#### Not classified
соҕотуопка,заготовка
чохороон,топорик
кулуба,голова
таракаан,таракан
нуорма,норма
кууппал,купол
ыспыраабынньык,исправник
кыраныысса,граница
куукула,кукла
кириэппэс,крепость
кыраһыабай,красивый
баанда,банда
куоһур,козырь
сэрэбиэй,жребий
көмүлүөк,камелёк
бүлүүһэ,блюдце
нойосуус,наизусть
очуос,утёс
маасса,масса
болуот,плот
дьарапылаан,аэроплан
хуор,хор
мөссүйүөн,пансион
боккуойа,прасковья
сиидэс,ситец
болуот,флот
көрүдьүөс,курьёз
суорат,сорат
дьааһык,ящык
болуот,плот
бэрэмэдэй,перемётная
симиэрт,смерть
бочуот,почёт
буурҕа,пурга


#### Places
ыстаансыйа,станция
бибилэтиэкэ,библиотека
миэстэ,место
сиилэс,силос
балаһыанньа,положение
ангаар,ангар
пааматынньык,памятник
институут,институт
бөһүөлэк,посёлок
учаастак,участок
аадырыс,адрес
уулусса,улица
оройуон,район
хонтуора,контора
түрмэ,тюрьма
колхуос,колхоз
олбуор,забор
маҕаһыын,магазин
буорту,порть
соппулуот,забор
олбуор,забор
эмтиэкэ,аптека
оскуола,школа
остолобуой,столовая
ыскылаат,склад
баан,банк
кулууп,клуб
саала,зала
кэнсэлээрийэ,канцелярия
киинэ,кино
муора,море
холуодьас,колодец
муоста,мост
баанка,банк
сомуок,замок
оҕуруот,огород
оҕуоруот,огород
баһаар,базар
баһаар,пожар
биэдэмэс,ведомост
сакалаат,заклад
бырайыак,проект

#### Clothes and wearables
синиэл,шинель
ыстаан,штаны
хаҥкы,коньки
саппыкы,сапоги
ботуоҥка,котомка
саппыкы,сапоги
куурка,куртка
бүрүүкэ,брюки
сэлээппэ,шляпа
ыстаан,штаны
былаат,платок
көстүүм,костюм
дьууппа,юбка
киэпкэ,кепка
бачыыҥка,ботинок
куопта,кофта
түүппүлэ,тапочки
суумка,сумка
хаалтыс,галстук
наскы,носки


#### Events
быыстапка,выставка
эпэрээссийэ,операция
бырааһынньык,праздник
былакаада,блокада
кириисис,кризис
быыстапка,выставка
сыбаайба,свадьба
уруок,урок
паара,пара
дьыала,дело
эбиэт,обед



#### Abstract
эппиэт,ответ
дуогабар,договор
боппуруос,вопрос
асыыпка,ошибка
оспуор,спор
хомпуус,конфуз
догубуор,договор
биримиэнэ,перемена
сыал,цель
бэсиэдэ,беседа
талаан,талант
кыраадыс,градус
битээнсийэ,квитанция
пиэрибэй,превый
торуой,второй
тириэтэй,третий
уочарат,очередь
маладьыас,молодец
чыыһыла,число
буоста,почта
боруок,порог
састаап,состав
мөссүйүөн,пансион
суобас,совесть
куруһох,кружок
бириигэбэр,приговор
дьиссипилиинэ,дисциплина
муударас,мудрость
сыана,цена
сыра,сила
өрөмүөн,ремонт
бириэмэннэй,временный
бириэмэ,время
быыгабар,выговор
наарыһынай,нарочный
хаачыстыба,качество
былаан,план
сыап,цепь
наҕараада,награда
суот,счёт
испииһэк,список
истиил,стиль
балаанса,баланс
абаарыйа,авария
датаассыйа,дотация
дэписиит,дефицит
муода,мода
куруһуок,кружок
биэксэл,вексель
чаас,час


#### Sociology
уопсастыба,общества,общества
културуу,культура,культура
бэлитикэ,политика,политика
экэниэмикэ,экономика,экономика
хандьыдатуура,кандидатура
доруобуйа,здоровье
устуоруйа,история
остуоруйа,история
устуорук,история
бэлиитикэ,политика
устурууксуйа,инстркуция


#### Govermental
сэбиэскэй,советский
куолас,голос
министиэрстибэ,министерство
хаһаайыстыба,хозяйство
быыбар,выборы
энэргиэтик,энергетик
бырабыыталыстыба,правительство
өрөспүүбүлүкэ,республика
аптаныамынай,автономная
бэдэрээссийэ,федерация
кэппэрэтиип,кооператива
байыаннай,военный
бүддьүөт,бюджет
баартыйа,партия
кыраай,край
сулууспа,служба
сэбиэт,совет
сүбэ,совет


#### Actions
сокуон,закон,
бирикээс,приказ,
сакаас,заказ,
учуот,учёт
аккаас,отказ


#### Instruments and objects
буочука,бочка
чааскы,чашка
хаарты,карты
чааркаан,чаркан
кыраабыл,грабли
сунуур,шнур
кириэс,крест
хартыына,картина
массыына,машина
мэтириэт,портрет
сурунаал,журнал
тэрэпйискэ,тряпка
чэрэниилэ,чернила
сиэркилэ,зеркало
уруучука,ручка
миэл,мел
кырааска,краска
сурунаал,журнал
хаһыат,газета
тирээпкэ,тряпка
лаампа,лампа
хобордоох,сковорода
тэриэлкэ,тарелка
чаһы,часы
биилкэ,вилка
балаакка,палатка
книга,кинигэ
ботуруон,патрон
мыыла,мыло
испиискэ,спичка
күлүүс,ключ
малатыылка,молотилка
пароход,борохуот
сэдиэлкэ,седёлка
бородуукта,продукт
борохуот,пароход
борокуот,пароход
бартыбыал,портфель
ыстатыйа,статья
билиэт,билет
ньуоска,ложка
мотор,мотуор
бэстилиэт,пистолет
манньыат,монета
туруупка,трубка
мээчик,мяч
бинтиэпкэ,винтовка
балалаайка,балалайка
тэтэрээт,тетрадь
көлөөскө,коляска
буулдьа,пуля
бууйла,пуля
бөппүрүөскэ,папироса
чаанньык,чайник
билиидэ,плита
биэдэрэ,ведро
хартыына,картина
сылабаар,самовар
сылыбаар,самовар
сөмөлүөт,самолет
бороһуок,порошок
сэппэрээтэр,сепаратор
кылаат,клад


##### Mobels and house
даача,дача
истиэнэ,стена
остуол,стол,
кровать,кырабаат
хомуот,комод
куукуна,кухня
матараас,матрас
дьыбаан,диван
көбүөр,ковёр
араама,рама
оҕуруот,огород
саала,зал
көрүдүөр,коридор
дьааһык,ящик
ыскаап,шкафа
ыскамыайка,скамейка
кирпииччэ,кирпич
истиэнэ,стена
дуоска,доска
бэриинэ,перина
аалтаар,алтарь
көлүдүөр,коридор
көрүдүөр,коридор


##### Consumibles
бирээнньик,пряник
бүлүүдэ,блюдо
мүөт,мёд
дьаабылака,яблоко
кэмпиэт,конфета
бытыылка,бутылка
истии,щи
мээккэ,мука
испиир,спирт
хааһы,каша
саахар,сахар
пиибэ,пиво
килиэп,хлеб
куруппа,крупа
дьэһимиэн,ячмень
хортуоппуй,картофель
огурсу,огурец
моркуоп,морковь
эриэппэ,репа
хаппыыста,капуста
луук,лук
лэппээскэ,лепешка
мээккэ,мука
баахыла,вафля
табаар,товар
кэмпиэт,конфета
баранаак,варнак
хортуоппуй,картофель
лэппиэскэ,лепёшка
үрүүмкэ,рюмка
саахар,сахар
халбаһы,колбаса
пиибэ,пиво
огурсу,огурец
бэрэски,пирожки
буулка,булка




#### Materials
матырыйаал,материал
кумааҕы,бумага
ыстаал,сталь
өстүөкүлэ,стекло
буорах,порох
ханаат,канат
ампаар,амбар
ыстаал,сталь
самааска,замазка






#### Persons, professions
биэлсэр,фельдшер
бэрэстэбиитэл,представитель
бэрэссэдээтэл,председатель
луохтуур,доктор
хулиган,күлүгээн
хаһаайка,хозяйка
баарысына,барышня
хандьыдаат,кандидат
сэбиэдиссэй,заведующий
өлүөччүк,летчик
баһылык,начальник
биригэдьиир,бригадир
астыраныам,астроном
учуонай,учёный
бостуук,пастух
экспиэрт,эксперт
инбэлиит,инвалид
быраас,врач
сибиниэс,свинец
маастар,мастер
сарыысса,царица
бандьыыт,бандит
учуутал,учитель
учууталынса,учительница
ааптар,автор
бухатыыр,богатырь
баатыр,богатырь
чилиэн,член
буруокар,брокер
билиэн,плен
бортунуой,портной
болуотунньук,плотник
начаалынньык,начальник
буомбардырыапсык,бомбардировщик
истирэбиитэл,истребитель
бассабыык,большевик
табаарыс,товарищ
ньээҥкэ,няня
быраат,брат
хохуол,хохол
саллаат,солдат
мэхээнньик,механик



#### Biology
таас,таз
сибиинньэ,свинья
куоска,кошка
эбиэс,овца
солуон,слон
былахы,блоха
кумаар,комар




#### Geography
амыарыка,америка
быраансыйа,франция
арассыыйа,россия
ииндийэ,индия
аапырыка,африка
уобалас,область
норуот,народ
куорат,город
акыйаан,океан
күөгүрэп,географ
кэнтиньиэн,континент


#### Week days
бэнидиэнньик,понедельник
оптуорунньук,вторник
сэрэдэ,среда
чэппиэр,четберг
бээтинсэ,пятница
субуота,суббота
баскыһыанньа,воскресенье



#### Adjectives
абыычай,обычай
сибиэһэй,свежий
боростуой,простой
интэриэһинэй,интересный
байыаннай,военная
доруобай,здоровый
бэһиэлэй,веселый
сибиэһэй,щедрый
чиэһинэй,честный
экэнэмиичэскэй,экономический
дьокуускай,якутский
мостуруской,мастерская
муударай,мудрый


#### Measures
нүөмэр,номер
сөкүүндэ,секунда
милийээр,миллиар
тыһыычча,тысяча
тыһыынча,тысяча
сыыппара,цифра



#### Other POS
пирибиэт,привет
баһаалыста,пожалуйста
баһыыба,спасибо




#### No classified
биэрэк,берег
күүлэй,гулянье
буомбардырыапсык
бухалтер
украйыын
инбэлиит
биизинэс

боппуроус
ансаамбыл
техник
сопхуос
монгуол
бүддьүөт
спортсаал
футбуол
хапхаан
ангаар
пуобар
пуорт
трактар
сыыҥк
пуун
паас
уст
эмп
амбылатыарыйа
тэрэпйискэ
балаатка
ангыына
кабина
науука
эвенки
паарта
паара
буомба
пиибэ
баанка
